RecordId,Name,PhdEntityType,TagNo,Active,Description,ParentTag,ClassTag,TagUnits,Tolerance,ToleranceType,Collection,DemandCalculation,ManualInput,PutDownload,DataStore,RangeChkDisable,DataEdit,ArchiveResample,EPKSExceptionTag,FileStream,SourceTag,SourceTagUnits,ScanFrequency,SourceDeadband,HighExtreme,LowExtreme,Quantum,HighHighLimit,HighLimit,LowLimit,LowLowLimit,HighHighEnable,HighEnable,LowEnable,LowLowEnable,SmoothingConstant,CompressionToleranceFactor,MinimumCompressionTolerance,GrossErrorSigmaLimit,GrossErrorSamples,NoiseGateLevel,PercentRecordFill,SpecQueueSize,ExtrapolationDamping,ResampleMethod,SourceTagIndexA,SourceTagIndexB,SourceTagIndexC,SourceTagIndexD,InterpolationMethod,UserDefined1,UserDefined2,ScanTimeStampUnit,TimeStamp,ExtendedSourceTag,Asset,Item,Function,RuleName,SynchronizationEnable,DigitalEnumEnable,DigitalEnumeration,MachineName,CollectorName,SourceSystem,SourceTagType,SourceTagAttribute,SourceName,CompressionSetting,VirtualTagCalculation
253,7585PI012.DACA.PV,T,253,TRUE,Trykk damp til inndamper,EXP_PARENT,FALSE,Bar,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,6,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7585PI012.DACA.PV,75-85,/Assets/T-plant/75-85/7585PI012,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7585PI012.DACA.PV,-1,
254,7585TI017.DACA.PV,T,254,TRUE,"Mengdemåler coriolis density, damp, temp(2 mA utganger på måler)",EXP_PARENT,FALSE,°C,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,150,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7585TI017.DACA.PV,75-85,/Assets/T-plant/75-85/7585TI017,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7585TI017.DACA.PV,-1,
255,7598PI002.DACA.PV,T,255,TRUE,Trykk luft til fettsmøring,EXP_PARENT,FALSE,Bar,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,10,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7598PI002.DACA.PV,75-98,/Assets/T-plant/75-98/7598PI002,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7598PI002.DACA.PV,-1,
256,7599PI001.DACA.PV,T,256,TRUE,Trykk sikkerhet applikator,EXP_PARENT,FALSE,Bar,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,160,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7599PI001.DACA.PV,75-99,/Assets/T-plant/75-99/7599PI001,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7599PI001.DACA.PV,-1,
257,ED650.AUTOMANA.OP,T,257,TRUE,TIME TBF1,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED650.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED650,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED650.AUTOMANA.OP,-1,
258,ED654.AUTOMANA.OP,T,258,TRUE,TIME TBF2,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED654.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED654,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED654.AUTOMANA.OP,-1,
259,ED658.AUTOMANA.OP,T,259,TRUE,TIME  STOP HIGH LEVEL,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED658.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED658,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED658.AUTOMANA.OP,-1,
260,ED662.AUTOMANA.OP,T,260,TRUE,TIME RESTART HIGH LEVEL,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED662.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED662,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED662.AUTOMANA.OP,-1,
261,ED674.AUTOMANA.OP,T,261,TRUE,TIME TBF1,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED674.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED674,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED674.AUTOMANA.OP,-1,
262,ED678.AUTOMANA.OP,T,262,TRUE,TIME TBF2,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED678.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED678,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED678.AUTOMANA.OP,-1,
263,ED682.AUTOMANA.OP,T,263,TRUE,TIME  STOP HIGH LEVEL,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED682.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED682,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED682.AUTOMANA.OP,-1,
264,ED686.AUTOMANA.OP,T,264,TRUE,TIME RESTART HIGH LEVEL,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,ED686.AUTOMANA.OP,75-00,/Assets/T-plant/75-00/ED686,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,ED686.AUTOMANA.OP,-1,
